"beta","gamma2","sigma2","n_clusters","R_per_cluster","replication","estimated_beta","lower_confint","upper_confint"
1,1,1,15,12,1,1.48597879459659,0.713837701747346,2.25811988744583
1,1,1,15,12,2,0.434127704199755,-0.726865636734782,1.59512104513429
1,1,1,15,12,3,0.704737681532499,0.214046436694294,1.1954289263707
1,1,1,15,12,4,1.32571143338088,0.594347175486739,2.05707569127502
1,1,1,15,12,5,0.458870206550662,-0.449449294403236,1.36718970750456
1,1,1,15,12,6,0.256426072232563,-0.875090940327315,1.38794308479244
1,1,1,15,12,7,0.704316574777203,-0.189499472820848,1.59813262237525
1,1,1,15,12,8,1.29234995213745,0.821805592354677,1.76289431192022
1,1,1,15,12,9,1.09556596425868,0.235155327933153,1.9559766005842
1,1,1,15,12,10,0.656280632807859,-0.368278780912942,1.68084004652866
1,1,1,15,12,11,1.52415600800278,0.379889622064898,2.66842239394067
1,1,1,15,12,12,1.44661389191075,0.544019687337342,2.34920809648415
1,1,1,15,12,13,-0.0561934532765414,-0.849337924747465,0.736951018194382
1,1,1,15,12,14,1.26296475780304,0.432457479308964,2.09347203629712
1,1,1,15,12,15,0.540428104696375,-0.312888802383677,1.39374501177643
1,1,1,15,12,16,0.235742734012492,-0.690079258508535,1.16156472653352
1,1,1,15,12,17,0.100815614094642,-0.884807931232417,1.0864391594217
1,1,1,15,12,18,0.947930806520527,0.229758110819851,1.6661035022212
1,1,1,15,12,19,1.53292047956526,0.417701786974787,2.64813917215573
1,1,1,15,12,20,1.07190366258783,0.192310775286801,1.95149654988886
1,1,1,15,12,21,0.773986709740196,-0.312134936215208,1.8601083556956
1,1,1,15,12,22,1.46804494955782,0.880200959955214,2.05588893916043
1,1,1,15,12,23,1.23138237554558,0.245126816329429,2.21763793476173
1,1,1,15,12,24,2.52499876564848,1.6622133583673,3.38778417292966
1,1,1,15,12,25,1.70700714355868,1.11203114283539,2.30198314428197
1,1,1,15,12,26,0.768381399813911,-0.0667943528149103,1.60355715244273
1,1,1,15,12,27,1.95271909940323,1.04713561638663,2.85830258241982
1,1,1,15,12,28,1.87754392938486,0.927326401362318,2.8277614574074
1,1,1,15,12,29,1.43292026989841,0.497119437279272,2.36872110251755
1,1,1,15,12,30,5.40359724560605e-05,-1.19581847585495,1.19592654779986
1,1,1,15,12,31,0.308181771750201,-0.692956578314265,1.30932012181467
1,1,1,15,12,32,0.724720548040221,-0.0281039930137255,1.47754508909417
1,1,1,15,12,33,1.13515480549473,0.0711631839274713,2.19914642706199
1,1,1,15,12,34,1.4482322863537,0.444746893178239,2.45171767952917
1,1,1,15,12,35,0.875204485746544,-0.0427177225130849,1.79312669400617
1,1,1,15,12,36,0.696142976959013,-0.253099054341595,1.64538500825962
1,1,1,15,12,37,1.23725962487122,0.120982062992595,2.35353718674985
1,1,1,15,12,38,1.25191606532678,0.584329457618193,1.91950267303537
1,1,1,15,12,39,0.918206191804928,0.142488071898438,1.69392431171142
1,1,1,15,12,40,0.85002101544233,-0.246677037161823,1.94671906804648
1,1,1,15,12,41,0.305727937951496,-0.651944250080238,1.26340012598323
1,1,1,15,12,42,0.628901852669358,-0.514529730026451,1.77233343536517
1,1,1,15,12,43,0.151670333864844,-1.01636114143309,1.31970180916278
1,1,1,15,12,44,0.392118017750848,-0.638794748317722,1.42303078381942
1,1,1,15,12,45,1.34527506510825,-0.128048201405975,2.81859833162248
1,1,1,15,12,46,1.01698849460261,-0.0106312750831115,2.04460826428833
1,1,1,15,12,47,0.632484525580566,-0.396533002260425,1.66150205342156
1,1,1,15,12,48,1.28631401929036,0.487478603378551,2.08514943520216
1,1,1,15,12,49,1.04386197305381,0.362390612610593,1.72533333349703
1,1,1,15,12,50,1.74998208437739,0.681705423500429,2.81825874525436
1,1,1,15,12,51,1.62119268110396,0.480137524043144,2.76224783816477
1,1,1,15,12,52,0.137200684742465,-0.375149169995388,0.649550539480318
1,1,1,15,12,53,1.82051667063648,0.997827014507179,2.64320632676578
1,1,1,15,12,54,0.71808204412101,0.118946773494689,1.31721731474733
1,1,1,15,12,55,1.36085359326624,0.623468996192534,2.09823819033995
1,1,1,15,12,56,1.41831627168707,0.485066749482534,2.35156579389161
1,1,1,15,12,57,1.06376293488408,0.115908760415179,2.01161710935297
1,1,1,15,12,58,1.91109659686295,0.920827626347969,2.90136556737793
1,1,1,15,12,59,1.09012669128314,-0.197845471259028,2.37809885382531
1,1,1,15,12,60,0.298974528356103,-0.521433810099444,1.11938286681165
1,1,1,15,12,61,0.596193197308288,-0.595460993325901,1.78784738794248
1,1,1,15,12,62,-0.100110658710786,-0.962211755529221,0.761990438107649
1,1,1,15,12,63,0.384774715971465,-0.586800409599904,1.35634984154283
1,1,1,15,12,64,0.622624531725387,-0.148700542934596,1.39394960638537
1,1,1,15,12,65,1.93166611252271,1.23065077109339,2.63268145395202
1,1,1,15,12,66,1.86801331359316,1.0399906447723,2.69603598241402
1,1,1,15,12,67,0.915199972630335,-0.0486818387836278,1.8790817840443
1,1,1,15,12,68,1.935805765266,1.03988080267606,2.83173072785594
1,1,1,15,12,69,0.861598865850521,0.102229261905117,1.62096846979593
1,1,1,15,12,70,1.54116883408662,0.580870455748835,2.5014672124244
1,1,1,15,12,71,1.74424372043529,0.783694133762863,2.70479330710772
1,1,1,15,12,72,0.879470335129624,0.0396090612705272,1.71933160898872
1,1,1,15,12,73,1.68757684854549,0.907577383092392,2.46757631399859
1,1,1,15,12,74,2.07407113534076,1.11241747574173,3.03572479493979
1,1,1,15,12,75,1.03541492623568,0.00993817456664292,2.06089167790471
1,1,1,15,12,76,1.12912858430348,0.0803897094037138,2.17786745920325
1,1,1,15,12,77,1.14439031251128,0.265305319263385,2.02347530575917
1,1,1,15,12,78,1.31376968523805,0.395255008827737,2.23228436164836
1,1,1,15,12,79,1.57146288487943,0.666843765243601,2.47608200451526
1,1,1,15,12,80,2.90019612200006,1.71978356987658,4.08060867412355
1,1,1,15,12,81,1.13462262106246,0.214261092712337,2.05498414941259
1,1,1,15,12,82,1.54715800360616,0.865644930818114,2.2286710763942
1,1,1,15,12,83,0.231157632738928,-0.724374972121257,1.18669023759911
1,1,1,15,12,84,1.12308679871574,0.257610753184657,1.98856284424683
1,1,1,15,12,85,1.07895586364886,0.416845443275233,1.74106628402248
1,1,1,15,12,86,1.07145556525942,-0.17486657008569,2.31777770060453
1,1,1,15,12,87,0.452067908026575,-0.370910648882014,1.27504646493516
1,1,1,15,12,88,1.7308910366276,0.721113219311908,2.7406688539433
1,1,1,15,12,89,1.67301210954511,0.618540870180623,2.72748334890959
1,1,1,15,12,90,0.281655657295188,-0.628970164552358,1.19228147914273
1,1,1,15,12,91,0.696002786326801,-0.339525228839252,1.73153080149285
1,1,1,15,12,92,1.35511178063042,0.484501414281069,2.22572214697977
1,1,1,15,12,93,0.997091406297847,0.168073787294733,1.82610902530096
1,1,1,15,12,94,0.549058498265229,-0.525741653303207,1.62385864983367
1,1,1,15,12,95,0.420459607263622,-0.603931580447633,1.44485079497488
1,1,1,15,12,96,0.50184745201149,-0.350411236794003,1.35410614081698
1,1,1,15,12,97,-0.38011025852812,-1.08287870080007,0.32265818374383
1,1,1,15,12,98,0.963213024919717,0.0788327910284919,1.84759325881094
1,1,1,15,12,99,0.974423188484186,-0.405347687078374,2.35419406404675
1,1,1,15,12,100,0.422932386244842,-0.553046891358095,1.39891166384778
2,1,1,15,12,1,1.18861132927502,-0.0484773618484617,2.4257000203985
2,1,1,15,12,2,2.04170385512445,0.955544287670455,3.12786342257846
2,1,1,15,12,3,1.9653331438657,0.870892749057825,3.05977353867357
