"beta","gamma2","sigma2","n_clusters","R_per_cluster","replication","estimated_beta","lower_confint","upper_confint"
1,10,1,15,12,7,3.43376231046874,0.542902061584655,6.32462261533211
1,10,1,15,12,8,-0.546496888462793,-4.06217169096379,2.96917798211651
1,10,1,15,12,9,-0.191245051298015,-4.09426448632767,3.71177445931083
1,10,1,15,12,10,0.987109607505322,-3.02087912174005,4.995098414365
2,10,1,15,12,1,0.419003134261861,-2.88674478832028,3.72475112085741
2,10,1,15,12,2,-1.533669619653,-5.1055859409481,2.03824677081124
2,10,1,15,12,3,3.03893106549947,-0.63862131864772,6.71648352086237
2,10,1,15,12,4,3.62674902980946,1.14854545351627,6.1049526540908
2,10,1,15,12,5,0.425788800336184,-2.05086415100266,2.90244179963725
2,10,1,15,12,6,2.59019351059183,-1.3579201132605,6.538307210897
2,10,1,15,12,7,1.45620748714882,-1.96675064844065,4.87916568902018
2,10,1,15,12,8,2.66431220849021,-0.271196430955877,5.59982090478019
2,10,1,15,12,9,3.08415720628495,-0.209151028771339,6.37746550511297
2,10,1,15,12,10,1.43495504350347,-1.44729621887274,4.31720636169214
3,10,1,15,12,1,0.884603005897166,-2.36383956529919,4.13304563999951
3,10,1,15,12,2,2.41114306149931,-0.863500308593517,5.68578649499996
3,10,1,15,12,3,3.71298347897503,0.106270657141047,7.31969637064875
3,10,1,15,12,4,3.50706238032299,1.3550086628687,5.65911613944872
3,10,1,15,12,5,3.23151340261793,0.791261995869576,5.67176485661982
3,10,1,15,12,6,3.86014102174318,1.20290222129285,6.51737987364738
3,10,1,15,12,7,3.05661441157168,-0.105798408332202,6.21902729271228
3,10,1,15,12,8,3.86266486903616,0.698315190454781,7.02701460889258
3,10,1,15,12,9,4.81729019322453,1.96796461564867,7.66661582597417
3,10,1,15,12,10,2.56662226814611,-0.176527166365591,5.30977175577765
1,1,10,15,12,1,1.88648155091572,0.453629464171312,3.31933366540645
1,1,10,15,12,2,1.267728025553,0.0149287926256194,2.52052728274001
1,1,10,15,12,3,1.65357697475464,0.408806700453593,2.89834727315968
1,1,10,15,12,4,1.60000976888432,0.404726738678117,2.79529282223634
1,1,10,15,12,5,1.03410426416553,-0.21931106792904,2.28751962053158
1,1,10,15,12,6,1.0693583214937,-0.713431314938532,2.85214799244808
1,1,10,15,12,7,0.518539299861074,-0.647932803365158,1.6850114256752
1,1,10,15,12,8,1.53945091119005,0.242608456438258,2.83629339105421
1,1,10,15,12,9,1.26845949511575,-0.0789776254190742,2.61589664174266
1,1,10,15,12,10,1.10701810510325,0.109228946667391,2.10480726398991
2,1,10,15,12,1,2.32407966938535,0.429602697887298,4.21855667756847
2,1,10,15,12,2,1.21037052854874,-0.251208434504384,2.6719495199042
2,1,10,15,12,3,3.33277650174752,2.0235399501114,4.64201307873565
2,1,10,15,12,4,2.37217616809701,1.48112356337491,3.26322877322166
2,1,10,15,12,5,1.7308466879442,-0.309804186943886,3.77149760234773
2,1,10,15,12,6,2.35613652009453,0.359248797588126,4.35302428126929
2,1,10,15,12,7,2.61067930886529,1.41912856521812,3.8022300755858
2,1,10,15,12,8,1.60767780202034,-0.274120460331003,3.48947610081124
2,1,10,15,12,9,2.3602744799708,0.670625799381632,4.04992319327872
2,1,10,15,12,10,2.00875221395715,0.417816380675571,3.59968807804594
3,1,10,15,12,1,3.2477645026753,1.60682706132565,4.88870197580049
3,1,10,15,12,2,3.32680734867578,1.91253765659888,4.74107706813912
3,1,10,15,12,3,2.74054849144333,0.958631483384873,4.5224655340073
3,1,10,15,12,4,2.78638156285744,1.0858865475032,4.48687661114046
3,1,10,15,12,5,2.59589577009363,0.708578024791671,4.483213551942
3,1,10,15,12,6,3.43714245090458,1.84365627153575,5.03062866112996
3,1,10,15,12,7,2.53732690561991,0.779859563753123,4.29479428151875
3,1,10,15,12,8,2.01818216650089,0.564817481661322,3.47154687948372
3,1,10,15,12,9,2.73978138338323,1.37814427083675,4.10141852229699
3,1,10,15,12,10,2.88637252887958,1.62221424222917,4.15053084000936
1,10,10,15,12,1,2.60306156224512,-0.900094780055852,6.10621797238189
1,10,10,15,12,2,2.29060601024471,-1.66298644175083,6.24419853879904
1,10,10,15,12,3,2.02971603275956,-1.65868220927126,5.71811434626165
1,10,10,15,12,4,0.644797915104563,-2.61228289140178,3.90187878468179
1,10,10,15,12,5,-2.44272361782644,-7.15351174681277,2.26806460238093
1,10,10,15,12,6,4.62932725396846,0.93840810188287,8.32024647752557
1,10,10,15,12,7,0.0173113012173648,-3.52494355725325,3.55956622828084
1,10,10,15,12,8,1.63294424827769,-1.52273161098601,4.78862016864882
1,10,10,15,12,9,0.612153611205612,-1.20184576767205,2.42615302520999
1,10,10,15,12,10,-0.696286673155441,-3.52638397486991,2.13381068336164
2,10,10,15,12,1,0.984923478103234,-1.79715565422528,3.76700266430469
